,neg,pos
aaa,3.0,
aaaaaah,1.0,
aah,,1.0
aaliyah,2.0,
aameet,1.0,
aamir,,1.0
aardman,,1.0
aaron,4.0,12.0
aatish,1.0,
ab,3.0,
aback,1.0,
abandon,26.0,42.0
abat,1.0,
abb,,3.0
abber,1.0,
abberlin,,2.0
abbi,1.0,11.0
abbot,,1.0
abbott,1.0,
abbrevi,1.0,
abc,1.0,1.0
abdomen,2.0,
abduct,3.0,7.0
abducte,,1.0
abduljabbar,,1.0
abe,2.0,1.0
abel,3.0,1.0
aberdeen,9.0,1.0
aberr,1.0,
abet,2.0,1.0
abhorr,3.0,
abid,,1.0
abigail,7.0,
abiil,,1.0
abil,71.0,67.0
abject,1.0,1.0
ablaz,1.0,
abli,1.0,8.0
abnorm,,1.0
aboard,9.0,18.0
abod,4.0,2.0
abolish,1.0,2.0
abolitionist,,8.0
abomin,1.0,
aborb,,1.0
aborigin,1.0,
abort,8.0,8.0
abortionist,,1.0
aboslut,1.0,
abound,3.0,9.0
aboutfac,,1.0
abov,44.0,71.0
aboveaverag,,1.0
aboveground,,1.0
abovement,1.0,
abovepar,1.0,1.0
abovethetitl,1.0,1.0
abrad,1.0,
abraham,10.0,11.0
abram,2.0,
abras,3.0,2.0
abreast,1.0,
abril,2.0,
abroad,,3.0
abrupt,10.0,6.0
abscond,1.0,
absenc,10.0,7.0
absens,,1.0
absent,9.0,6.0
absente,1.0,
absentminded,2.0,
absinth,1.0,1.0
absolout,,1.0
absoltu,1.0,
absolut,71.0,84.0
absorb,8.0,23.0
abstin,,1.0
abstract,2.0,6.0
absurd,38.0,20.0
absurdist,1.0,2.0
abu,,1.0
abund,7.0,12.0
abus,21.0,21.0
abuzz,1.0,1.0
abysm,10.0,
abyss,8.0,12.0
ac,,1.0
academ,3.0,7.0
academi,18.0,42.0
academia,,2.0
academyaward,1.0,
academybelov,,1.0
acceler,4.0,
accent,52.0,34.0
accentu,1.0,4.0
accept,55.0,81.0
access,7.0,16.0
accessor,1.0,
accessori,,1.0
accid,31.0,52.0
accident,30.0,18.0
accidentlli,1.0,
acclaim,6.0,22.0
acclimat,,1.0
accolad,1.0,6.0
accommod,4.0,4.0
accomod,,1.0
accompani,25.0,31.0
accomplic,4.0,4.0
accomplish,36.0,46.0
accord,19.0,21.0
accordion,,2.0
accost,1.0,2.0
account,12.0,34.0
accumul,3.0,1.0
accur,15.0,23.0
accuraci,8.0,5.0
accus,25.0,24.0
accustom,2.0,5.0
acdc,3.0,
ace,28.0,7.0
acerb,4.0,4.0
ach,1.0,4.0
achangin,,1.0
acheiv,,1.0
achiev,37.0,81.0
achill,,1.0
achin,,1.0
achoo,1.0,
acid,14.0,7.0
acideaten,,1.0
acidtrip,,1.0
aciton,1.0,
ack,,1.0
ackack,,1.0
ackland,,1.0
acknowledg,9.0,11.0
acm,1.0,
acn,,1.0
acor,,1.0
acquaint,2.0,6.0
acquaintancesid,2.0,
acquiesc,,1.0
acquir,4.0,5.0
acquisit,,1.0
acquit,3.0,3.0
acquitt,2.0,
acr,1.0,1.0
acrimoni,1.0,1.0
acrobat,2.0,4.0
acronym,,1.0
acrossth,,1.0
acrosstheboard,1.0,
acryl,,1.0
act,416.0,390.0
actingenglish,1.0,
actingmusiceffect,,1.0
actingrel,,1.0
action,472.0,381.0
actionadventur,3.0,3.0
actionanim,,1.0
actioncomedi,1.0,3.0
actioncrav,,1.0
actioncrim,2.0,
actionfest,1.0,1.0
actionfilm,1.0,
actionhero,1.0,
actionhorror,1.0,
actionhorrorparanoia,1.0,
actionless,1.0,
actionmovi,1.0,
actionori,,1.0
actionpack,2.0,5.0
actionscifi,1.0,1.0
actionsuspens,,2.0
actionthril,3.0,5.0
actionverb,1.0,
activ,20.0,22.0
activist,2.0,8.0
activit,,1.0
actor,442.0,443.0
actordirector,1.0,
actormagician,1.0,
actorsactress,,1.0
actorsdirectorsproduc,,1.0
actorstunt,1.0,
actorswashington,1.0,
actorturneddirector,,1.0
actosta,1.0,
actress,78.0,83.0
actresss,,3.0
actresssing,1.0,
actressturnedcomedi,1.0,
actresstyp,1.0,
actual,361.0,337.0
actuali,1.0,
actualis,,1.0
