,neg,pos
aa,2.0,
aaaaaaaahhhh,1.0,
aaaaaah,1.0,
aah,,1.0
aaliyah,2.0,
aalyah,3.0,
aameet,1.0,
aamir,,1.0
aardman,,1.0
aaron,3.0,13.0
aatish,1.0,
ab,3.0,
aback,2.0,
abandon,29.0,36.0
abb,,3.0
abba,,2.0
abberlin,,2.0
abbi,1.0,14.0
abbott,1.0,
abbrevi,1.0,
abc,1.0,1.0
abdomen,2.0,
abduct,3.0,7.0
abducte,,1.0
abduljabbar,,1.0
abe,1.0,
abel,3.0,2.0
aberdeen,9.0,1.0
aberr,1.0,1.0
abet,2.0,2.0
abhorr,2.0,1.0
abid,,2.0
abigail,7.0,
abiil,,1.0
abil,68.0,61.0
abject,1.0,
ablaz,1.0,
abli,2.0,8.0
abnorm,1.0,1.0
aboard,8.0,15.0
abod,3.0,3.0
abolish,,2.0
abolitionist,,6.0
abomb,,1.0
abomin,1.0,
aborb,,1.0
aborigin,1.0,
abort,7.0,4.0
aboslut,1.0,
abound,4.0,9.0
aboutth,,1.0
abov,45.0,70.0
aboveaverag,,1.0
aboveground,,1.0
abovepar,1.0,
abovethetitl,1.0,1.0
abraham,10.0,10.0
abras,5.0,4.0
abreast,1.0,
abril,2.0,
abroad,,4.0
abrupt,11.0,5.0
abscond,1.0,
absenc,13.0,9.0
absens,,1.0
absent,13.0,7.0
absente,2.0,
absentmind,1.0,
absentminded,1.0,
absinth,,1.0
absoltu,1.0,
absolut,78.0,78.0
absolv,,1.0
absorb,7.0,19.0
absorpt,,1.0
abstin,,2.0
abstract,2.0,4.0
absurd,34.0,20.0
absurdist,1.0,1.0
abu,,1.0
abund,8.0,9.0
abus,23.0,31.0
abuzz,1.0,
abysm,5.0,
abyss,6.0,12.0
ac,,1.0
academ,2.0,4.0
academi,20.0,42.0
academia,,1.0
acceler,4.0,
accent,49.0,31.0
accentu,1.0,4.0
accept,57.0,79.0
access,6.0,14.0
accessor,1.0,
accid,29.0,51.0
accident,31.0,17.0
accidentlli,1.0,
acclaim,5.0,26.0
acclimat,,1.0
accolad,1.0,6.0
accommod,4.0,4.0
accomod,,1.0
accompani,24.0,28.0
accomplic,4.0,3.0
accomplish,33.0,38.0
accord,19.0,26.0
accordion,,1.0
accost,1.0,
account,17.0,31.0
accumul,2.0,3.0
accur,16.0,19.0
accuraci,8.0,9.0
accurs,,1.0
accus,26.0,29.0
accustom,5.0,4.0
acdc,3.0,
ace,16.0,3.0
aceinthehol,1.0,
acerb,4.0,3.0
ach,1.0,4.0
acheiv,,2.0
achiev,45.0,67.0
achin,,1.0
achoo,1.0,
acid,12.0,5.0
acidtrip,,1.0
ack,,1.0
ackack,,1.0
ackland,,1.0
acknowledg,11.0,7.0
acm,1.0,2.0
acn,,1.0
acquaint,2.0,6.0
acquaintancesid,1.0,
acquir,3.0,3.0
acquit,1.0,4.0
acr,,1.0
acrimoni,1.0,2.0
acrobat,5.0,3.0
acronym,,1.0
acrossth,,1.0
acrosstheboard,1.0,
act,411.0,358.0
actingenglish,1.0,
actingrel,,1.0
action,455.0,364.0
actionadventur,4.0,3.0
actioncomedi,2.0,2.0
actioncrim,1.0,
actionfilm,1.0,
actionhero,1.0,
actionhorror,1.0,
actionhorrorparanoia,1.0,
actionmovi,,1.0
actionori,,1.0
actionpack,2.0,4.0
actionscifi,,1.0
actionsuspens,,1.0
actionthril,2.0,7.0
actionverb,1.0,
activ,18.0,25.0
activist,3.0,8.0
activit,,1.0
actor,467.0,406.0
actordirector,2.0,
actorsactress,1.0,1.0
actorsdirectorsproduc,,1.0
actorstunt,1.0,
actorswashington,1.0,
actorturneddirector,1.0,1.0
actorwait,1.0,
actosta,1.0,
actress,85.0,76.0
actresss,,1.0
actresssing,1.0,
actressturnedcomedi,1.0,
actresstyp,1.0,
actspeak,,1.0
actual,362.0,336.0
actuali,1.0,
actualis,,1.0
acuiti,,1.0
acumen,1.0,1.0
acupunctur,,1.0
acut,1.0,4.0
ad,67.0,72.0
adag,2.0,1.0
adagio,1.0,
adair,,1.0
adam,50.0,38.0
adandon,,1.0
adapt,43.0,70.0
adaptationin,,1.0
aday,,1.0
add,99.0,108.0
addam,2.0,4.0
addendum,,1.0
addi,1.0,2.0
addict,22.0,16.0
addit,42.0,57.0
addl,1.0,
address,7.0,20.0
ade,,1.0
adefarasin,,2.0
adelaid,,1.0
adept,6.0,5.0
adequ,14.0,15.0
adher,5.0,4.0
adian,,1.0
aditi,,1.0
aditya,1.0,
adjac,2.0,
adjani,3.0,2.0
adject,8.0,6.0
adjust,2.0,4.0
adlai,,1.0
adlib,6.0,2.0
administ,,1.0
administr,2.0,1.0
admir,30.0,57.0
admiss,6.0,6.0
admit,68.0,73.0
admitt,,4.0
admonit,1.0,1.0
ado,8.0,1.0
adolesc,13.0,6.0
adolescentmind,,1.0
adolf,1.0,
adolph,,1.0
adopt,8.0,21.0
ador,14.0,18.0
adorn,2.0,1.0
adrenalin,4.0,8.0
adrian,4.0,3.0
adriann,,1.0
adrien,1.0,1.0
adrienmarc,1.0,
adrienn,,1.0
adrift,1.0,1.0
adroit,1.0,5.0
adul,1.0,
adult,47.0,78.0
adulter,1.0,3.0
adulteri,,3.0
adulthood,2.0,5.0
adultori,,2.0
adultr,1.0,
advanc,36.0,30.0
advantag,12.0,16.0
advent,1.0,3.0
adventur,45.0,72.0
adventuredrama,,1.0
advers,,3.0
adversari,,5.0
advertis,15.0,12.0
advic,19.0,21.0
advicegiv,,1.0
advis,15.0,13.0
advisor,1.0,9.0
advoc,8.0,18.0
aerial,1.0,2.0
aerosmith,3.0,1.0
aesthet,2.0,4.0
afa,,1.0
afar,2.0,2.0
afer,1.0,
affabl,1.0,6.0
affair,37.0,45.0
affect,25.0,54.0
affection,2.0,6.0
afficianado,,1.0
affili,,3.0
affin,1.0,2.0
affirm,1.0,9.0
affleck,24.0,39.0
affleckdamon,,1.0
afflict,2.0,7.0
affluent,1.0,
afford,5.0,7.0
affront,1.0,
aficionado,2.0,5.0
afield,,1.0
afir,,1.0
aflail,1.0,
afloat,3.0,
afoot,1.0,1.0
afor,1.0,
aforement,23.0,15.0
aforment,1.0,1.0
afoul,1.0,1.0
afr,1.0,
afraid,12.0,25.0
africa,17.0,12.0
african,15.0,30.0
africanamerican,2.0,13.0
afro,1.0,
afroamerican,1.0,
aft,,1.0
aftereffect,,3.0
afterglow,,5.0
afterlif,3.0,3.0
aftermath,2.0,4.0
afternoon,7.0,8.0
afterschool,1.0,2.0
aftertast,,3.0
afterthought,6.0,3.0
afterward,8.0,29.0
afterword,1.0,
again,232.0,245.0
against,102.0,159.0
againth,1.0,
againthes,,1.0
agamemnon,,1.0
agap,1.0,
agatha,,1.0
age,61.0,113.0
agelik,,1.0
agenc,4.0,9.0
agenda,2.0,8.0
agent,76.0,83.0
agentassassin,1.0,
agentincharg,,1.0
ageold,,1.0
agetyp,,1.0
aggi,1.0,
aggrav,5.0,1.0
aggress,9.0,10.0
aggressivelli,1.0,
aggressivelymarket,,1.0
aggriev,,1.0
aggriv,,1.0
aghast,,1.0
agil,4.0,2.0
agit,,1.0
agn,,2.0
agnieszka,1.0,
agnost,,2.0
ago,66.0,69.0
agogo,,1.0
agon,2.0,
agoni,3.0,2.0
agonis,,1.0
agre,40.0,55.0
agreeabl,1.0,9.0
agreement,1.0,7.0
agricultur,,1.0
aguilar,,2.0
aguirresarob,,2.0
agutt,1.0,
ah,7.0,2.0
ahab,,1.0
ahead,24.0,23.0
ahem,2.0,1.0
ahern,2.0,
ahh,3.0,
ahha,,1.0
ahhh,1.0,
ahm,10.0,2.0
ahmad,,3.0
ahmet,1.0,
ahol,,1.0
aid,20.0,41.0
aidan,2.0,
aidscautionari,,1.0
aiello,7.0,2.0
aikidovers,1.0,
ail,4.0,3.0
ailment,1.0,
aim,29.0,22.0
aime,,2.0
aimless,10.0,4.0
aint,14.0,13.0
aintisexi,,1.0
air,53.0,48.0
aircraft,2.0,6.0
airforceon,,1.0
airhead,4.0,1.0
airi,2.0,3.0
airlin,2.0,4.0
airlock,2.0,
airplan,18.0,24.0
airplanestyl,1.0,
airplanetyp,,1.0
airplay,,1.0
airport,12.0,11.0
airtim,,1.0
airwav,,2.0
airwolf,3.0,
aisl,3.0,5.0
aissa,1.0,
ajax,1.0,
ajay,,1.0
aka,4.0,4.0
aki,,3.0
akiko,,1.0
akin,3.0,5.0
akira,1.0,1.0
akiva,7.0,1.0
akroyd,2.0,
al,19.0,37.0
ala,34.0,9.0
alabama,,2.0
alacr,,1.0
aladdin,,9.0
alain,6.0,8.0
alakina,,1.0
alamo,,1.0
alan,31.0,34.0
alana,5.0,
alani,,3.0
alarm,8.0,4.0
alarmsth,1.0,
alaska,4.0,
alba,1.0,
albani,,1.0
albania,,3.0
albanian,,3.0
albarn,,1.0
albeit,16.0,17.0
albert,8.0,25.0
alberta,,4.0
alberto,1.0,
albertson,2.0,2.0
albino,4.0,1.0
album,3.0,6.0
alc,,1.0
alcatraz,2.0,
alchemi,,8.0
alcohol,30.0,10.0
alcoholbas,,1.0
alcott,7.0,1.0
alda,2.0,
alderaan,,1.0
aldi,3.0,
aldous,,1.0
alea,,2.0
alec,9.0,14.0
alejandro,,2.0
alert,6.0,3.0
alessa,12.0,
alessandro,,1.0
alevey,1.0,
alex,17.0,29.0
alexa,,2.0
alexand,5.0,7.0
alexandr,3.0,
alexandra,,3.0
alexandria,,1.0
alexi,1.0,
aleximall,,1.0
alf,2.0,
alfonso,1.0,
alfr,15.0,12.0
alfredo,,3.0
alga,1.0,
algar,,1.0
alger,1.0,
ali,9.0,24.0
alia,1.0,
alias,,2.0
alibi,,2.0
alic,14.0,37.0
alicia,40.0,2.0
alida,,1.0
alien,149.0,292.0
alienbust,1.0,
alienhuman,1.0,
alienlik,,1.0
alienpossess,1.0,
alienripoff,1.0,
alienstitan,1.0,
alight,1.0,
align,4.0,1.0
alik,3.0,9.0
alin,,1.0
alison,4.0,3.0
alist,1.0,1.0
aliv,35.0,47.0
allag,,1.0
allah,,1.0
allamerica,,1.0
allamerican,1.0,2.0
allan,4.0,2.0
allaround,1.0,3.0
allayah,2.0,
allbusi,1.0,
allbut,1.0,
allbutdead,,1.0
allbutscream,1.0,
allconsum,,1.0
allday,,1.0
alleg,10.0,8.0
allegi,2.0,2.0
allegor,1.0,1.0
allegori,3.0,4.0
allegra,,1.0
allen,52.0,69.0
allencompass,1.0,1.0
allerg,1.0,
allergi,1.0,
allevi,1.0,2.0
allexcept,,1.0
alley,7.0,8.0
alleyway,,1.0
allgrownup,,1.0
alli,11.0,14.0
allianc,3.0,5.0
allig,3.0,2.0
allimport,1.0,
allinadayswork,1.0,
allinal,,2.0
allison,5.0,10.0
alllllllllllrighti,1.0,
allmal,,1.0
allman,1.0,
allnight,1.0,
alloc,1.0,
allofasuddensuperhuman,1.0,
allornoth,,1.0
allot,2.0,
allout,4.0,6.0
allow,81.0,107.0
alloy,,1.0
allpow,,3.0
allpurpl,,1.0
allrooki,1.0,
allround,1.0,
allstar,3.0,
allterrain,,1.0
alltim,3.0,8.0
alltogeth,,1.0
alltoo,1.0,
alltoobrief,3.0,
alltoor,,1.0
alltootru,,1.0
alltoowil,,1.0
allud,3.0,1.0
allur,6.0,9.0
allus,2.0,5.0
allwhit,,3.0
allyson,1.0,
almanac,,1.0
almasi,2.0,
almod,2.0,
almostcameo,,1.0
almostforgotten,,1.0
almostwitti,1.0,
aloft,,3.0
alois,,11.0
alon,90.0,66.0
alonehi,,1.0
along,172.0,192.0
